iter	Passed	Remaining
418	2498	2211
419	2503	2205
420	2508	2198
421	2512	2191
422	2518	2185
423	2523	2178
424	2528	2171
425	2533	2165
426	2538	2158
427	2543	2151
428	2548	2144
429	2553	2137
430	2558	2130
431	2563	2124
432	2567	2117
433	2572	2110
434	2578	2104
435	2583	2097
436	2589	2092
437	2595	2085
438	2601	2079
439	2606	2073
440	2611	2066
441	2616	2060
442	2621	2053
443	2626	2046
444	2631	2040
445	2637	2034
446	2643	2028
447	2649	2022
448	2654	2016
449	2659	2009
450	2664	2002
451	2669	1996
452	2673	1989
453	2678	1982
454	2683	1975
455	2687	1968
456	2691	1961
457	2697	1955
458	2702	1949
459	2711	1945
460	2716	1939
461	2722	1932
462	2728	1926
463	2733	1920
464	2738	1914
465	2743	1907
466	2748	1901
467	2755	1895
468	2761	1889
469	2765	1882
470	2770	1876
471	2775	1869
472	2779	1863
473	2785	1856
474	2792	1851
475	2797	1845
476	2804	1840
477	2810	1834
478	2815	1827
479	2820	1821
480	2824	1814
481	2829	1808
482	2834	1801
483	2838	1794
484	2843	1788
485	2848	1781
486	2853	1775
487	2858	1768
488	2863	1762
489	2868	1756
490	2873	1749
491	2878	1743
492	2882	1736
493	2887	1729
494	2892	1724
495	2897	1717
496	2902	1710
497	2907	1704
498	2912	1698
499	2923	1695
500	2927	1688
501	2932	1682
502	2938	1676
503	2943	1670
504	2947	1663
505	2952	1657
506	2957	1651
507	2962	1644
508	2968	1638
509	2973	1632
510	2978	1626
511	2983	1620
512	2989	1614
513	2994	1608
514	2999	1601
515	3004	1595
516	3008	1588
517	3013	1582
518	3017	1575
519	3023	1569
520	3028	1563
521	3033	1557
522	3038	1551
523	3043	1545
524	3049	1539
525	3054	1533
526	3060	1527
527	3065	1521
528	3071	1515
529	3076	1509
530	3082	1503
531	3088	1497
532	3093	1491
533	3098	1485
534	3103	1479
535	3107	1472
536	3112	1466
537	3116	1459
538	3121	1453
539	3127	1447
540	3132	1441
541	3137	1435
542	3142	1429
543	3148	1423
544	3154	1417
545	3159	1412
546	3169	1408
547	3175	1402
548	3182	1397
549	3188	1391
550	3195	1386
551	3203	1381
552	3210	1375
553	3216	1370
554	3222	1364
555	3229	1359
556	3237	1354
557	3245	1349
558	3251	1343
559	3257	1337
560	3264	1332
561	3270	1326
562	3277	1321
563	3283	1315
564	3290	1310
565	3297	1305
566	3303	1299
567	3309	1293
568	3316	1288
569	3321	1282
570	3327	1276
571	3332	1270
572	3338	1264
573	3345	1258
574	3352	1253
575	3357	1247
