iter	RMSE
564	0.1141947864
565	0.1139955908
566	0.1138687807
567	0.1137879604
568	0.1136411256
569	0.1134428012
570	0.1132412823
571	0.1130249029
572	0.1128155086
573	0.1126945216
574	0.1124625544
575	0.1122618581
576	0.1121474219
577	0.1119962594
578	0.1118350576
579	0.1117073715
580	0.1116354789
581	0.1113494781
582	0.111161812
583	0.1109970583
584	0.1109836276
585	0.110820927
586	0.1108020289
587	0.1106971026
588	0.1105264612
589	0.1103797411
590	0.1103205737
591	0.1102730037
592	0.1101413523
593	0.1099924953
594	0.1099794437
595	0.1098641443
596	0.1097629499
597	0.1095676287
598	0.1094611741
599	0.1093032182
600	0.1091967776
601	0.1090704468
602	0.1088816661
603	0.1087880096
604	0.1086614308
605	0.1085070947
606	0.1083761454
607	0.1082375228
608	0.1081377104
609	0.1080069967
610	0.1078120357
611	0.1076851577
612	0.1075841742
613	0.1074020773
614	0.1072665287
615	0.1071696895
616	0.1071563607
617	0.1070373108
618	0.106883676
619	0.1068328601
620	0.1067001401
621	0.106504373
622	0.1064521726
623	0.1062944908
624	0.1061827135
625	0.1060594167
626	0.1060149015
627	0.1058869683
628	0.1058751303
629	0.1058312859
630	0.105675727
631	0.1056538271
632	0.1055909617
633	0.1053933513
634	0.1053092957
635	0.1051846637
636	0.1050112328
637	0.1048449479
638	0.1047339619
639	0.1046281748
640	0.1044745267
641	0.104399517
642	0.1042898602
643	0.1040983771
644	0.1039780533
645	0.1038149502
646	0.1037593787
647	0.1036581757
648	0.1035710923
649	0.1034728106
650	0.1034083137
651	0.1033140525
652	0.1032443117
653	0.1031330557
654	0.103023956
655	0.1029731657
656	0.1028791592
657	0.1027723562
658	0.1026067935
659	0.1025125782
660	0.1023785671
661	0.1022258563
662	0.1020338366
663	0.1019913343
664	0.1019507059
665	0.1018118756
666	0.101772399
667	0.1017022177
668	0.101598226
669	0.101522335
670	0.1013995884
671	0.1012752162
672	0.1012019497
673	0.1011195884
674	0.1010592327
675	0.1010234277
676	0.1009069703
677	0.1008096264
678	0.1006553507
679	0.1005385851
680	0.1004803538
681	0.1003939548
682	0.1002320159
683	0.1000515394
684	0.09995858545
685	0.09986849521
686	0.09980575106
687	0.09972017938
688	0.09960474557
689	0.0995134805
690	0.09939929522
691	0.09931569024
692	0.09916538069
693	0.09910452381
694	0.09905683021
695	0.09898281078
696	0.09886329618
697	0.09880691433
698	0.09872990874
699	0.09867154832
700	0.09849425076
701	0.0984372523
702	0.09839024832
703	0.09831152241
704	0.09818389428
705	0.09814059357
706	0.09804934182
707	0.09801522259
708	0.09794358237
709	0.09790419069
710	0.09780219192
711	0.09772285132
712	0.09765649591
713	0.09755518428
714	0.09747198908
715	0.09738738635
716	0.09729733676
717	0.09726556616
718	0.09720077754
719	0.09711520879
720	0.09706802457
721	0.09697034892
722	0.09680183086
723	0.09677008255
724	0.09669314934
725	0.09654891195
726	0.09644323029
727	0.09632234048
728	0.0962254373
729	0.09615961103
730	0.09611701697
731	0.0959662773
732	0.09580198906
733	0.09567046303
734	0.09563935869
735	0.09552660688
736	0.09545819854
737	0.09534359409
738	0.09528832348
739	0.09518963647
740	0.09512288057
741	0.09504627382
742	0.09492875218
743	0.09488902551
744	0.09483425737
745	0.09467514761
746	0.09457540123
747	0.09450026741
748	0.09447782249
749	0.09437604449
750	0.0943596515
751	0.09429772094
752	0.09427249378
753	0.09421586676
754	0.09411795265
755	0.09402592734
756	0.09390979191
757	0.09389403251
758	0.09383207045
759	0.09376838382
760	0.09363275117
761	0.09352736696
762	0.09338278519
763	0.0933680938
764	0.09324592542
765	0.09311554654
766	0.09299551275
767	0.09283865095
768	0.09279592485
769	0.0927523065
770	0.09268855586
771	0.09261198896
772	0.09247257031
773	0.09236326777
774	0.09223984706
775	0.09216264486
776	0.09209048378
777	0.09199492384
778	0.09194489712
779	0.09190783271
780	0.09187304761
781	0.09178772034
782	0.09172347559
783	0.09162685043
784	0.09155323159
785	0.09148352049
786	0.09139370679
787	0.09128227166
788	0.09121100951
789	0.09107091029
